competitor,ad_text,format,first_seen
Adidas,"Trendy Bags By adidas? - Save 20% With Code SCORE Shop adidas And Get An Extra 30% Off Sales And Full Priced Products With Code DEAL Rating for adidas.com 4.6(211) Crossbody Bags & Gym Bags Purses, Sling Bags and More Samba Shop Sale New Arrivals",Search,10/25/2021
Adidas,adidas? Vests - Extra 30% Off I Code AUGUST Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Save An Extra 30% Off Full And Sale-Price Items With Code AUGUST. Shop Online Today. Maximize Your Workouts Show Your Signature Style Shop Sale Men's Shoes adidas? NMD Originals Women's New Arrivals,Search,10/25/2021
Adidas,"adidas Shoes - Summer Sale I Up To 40% Off Shop The adidas Official Site Today Free Shipping & Returns For Members. Shop adidas Summer Essentials, Now Up To 40% Off. No Code Needed, Priced As Marked",Search,10/25/2021
Adidas,"New Stylish Tracksuits - Save 25% I Code SAVE adidas Continues To Evolve Streetwear. Check Out The Newest Tracksuits. Save 25% On Select Items With Code SAVE. Maximize Your Workouts Shop Sale Shop Our Sale Styles Today. Discounts For Men, Women, & Kids Women's New Arrivals Shop Our Selection",Search,10/25/2021
Adidas,adidas? Ultraboost ™ Shoes - 30% Off I Code REFRESH Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Purchase A adidas? Ultraboost ™ Light Incredible Energy Return Shop The New Ultraboost ™ Light Today adidas? Shoes adidas NMD adidas? New Arrivals,Search,10/25/2021
Adidas,adidas? Mens Hoodies - Up To 50% 1 adiClub Days Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order adidasNewArrivals Shop The Latest adidas? Drops. New Shoes Clothing & More,Search,10/25/2021
Adidas,"adidas Stability Shoes - Shop Stability Shoes Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. One of The Best Sales of The Season. For a Limited Time, Get Up to Women's Shoes Men's Shoes Spring Sale I Up to 50% Off Shop Sale Bestsellers",Search,10/25/2021
Adidas,adidas? Official Store - Sign Up For adiclub Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Don't Miss Out On Your Favorites. Order From The Official adidas? Store. lconic & Timeless Styles。 Free Shipping For Members。 Free Returns & Exchanges。 Rating for adidas.com 4.7 Most items 30+ days adidas? Shoes Find The Right Shoes Today. Sport & Lifestyle Shoes Available Online adidas Ultraboost ™ Light Incredible Energy Return Shop The New Ultraboost ™ Light Today,Search,10/25/2021
Adidas,adidas Break Away Pants - Up To 40% Off adidas Favorites Shop adidas Break Away Pants Today. Free Shipping For Members On All Orders. Save Up To 40% On Tons Of Styles For The Year Ahead With The Back To School Sale. Signature Collections. Innovative Technology Rating for adidas.com 4.5 → (268),Search,10/25/2021
Adidas,adidas New Hoodies - Up To 70% Off For adiClub Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Up To 70% Off For Rating for adidas.com 4.7↓ (125),Search,10/25/2021
Adidas,Burgundy Shoes - Save 25% l Code SUNNY Shop adidas Burgundy Shoes Today. Free Shipping For Members On All Orders. Dive Into Summer Savings Save 25% Off Select Full And Sale-Price Items With,Search,10/25/2021
Adidas,Bags - Up To 50% l adiClub Days Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Save Up To 50% Off For adiClub,Search,10/25/2021
Adidas,"adidas Socks - End Of Summer I Up To 50% Off Shop The adidas Official Site Today. Free Shipping & Returns For Members. Save Up To 50% On Thousands Of Styles. Exclusions Apply. Shop The Sale Through 9/4. Sport & Originals Designs. Maximize Your Workouts Men's Shoes Shop Men's Shoes. Lifestyle And Performance Footwear Shop Sale Shop Our Sale Styles Today. Discounts For Men, Women, & Kids",Search,10/25/2021
Adidas,"adidas Kid's Running Shoes - Shop Kid's Running Shoes Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. One of The Best Sales of The Season. For a Limited Time, Get Bestsellers adidasNewArrivals adidas Running Apparel Gift Cards adidas Kids Shoes",Search,10/25/2021
Adidas,"adidas Kid's Pants - Summer Sale I Up To 40% Off Free Shipping For Members On All Orders. Shop adidas Kids Pants Today. Shop adidas Summer Essentials Now Up To 40% Off. No Code Needed, Priced As Shop Sale Shop Our Sale Styles Today. Discounts For Men, Women, & Kids Bestsellers Shop adidas Bestsellers. Clothes, Shoes, & More",Search,10/25/2021
Adidas,adidas Originals Pants - Buy 2 Get 30% Off I Code GET30 Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Buy 2 Shop Sale adidas?NewArrivals Women's New Arrivals Men's Shoes Originals,Search,10/25/2021
Adidas,adidas? Official Site - Up To 50% I adiClub Days Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Save Up To Women's Shoes Men's Shoes Shop Sale adidas? Shoes Originals,Search,10/25/2021
Adidas,adidas Women's Sweatsuits - Save 25%I Code SUMMER Shop adidas Womens Sweatsuits Today. Free Shipping For Members On All Orders Rating for adidas.com 4.6 → (249) Most items 30+ days Women's New Arrivals Shop Now For The Latest Women's Shoes Apparel & More Online Shop Women's Sweatsuits New Arrivals Shop Sale,Search,10/25/2021
Adidas,adidas? Women's Jackets - Shop Women's Jackets Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Shop adidas Womens Jackets Today. Free Shipping For Members On All Orders Shop Sale Women's New Arrivals Originals adidas?NewArrivals Women's Shoes,Search,10/25/2021
Adidas,adidas? Blue Collection - Extra 30% Off I Code BIGDEAL Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Save An Extra 30% Off Select Full And Sale-Price Products With Code BIGDEAL. Iconic & Timeless Styles Women's Shoes Shop Women's Shoes. Lifestyle And Performance Footwear Men's Shoes Originals Shop Sale,Search,10/25/2021
Adidas,adidas? Jerseys - Shop Jerseys Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Free Shop Sale Women's New Arrivals Originals adidas? New Arrivals Men's Shoes,Search,10/25/2021
Adidas,adidas Ankle Socks - Save 25% I Code SUNNY Shop The adidas Official Site Today. Free Shipping & Returns For Members. Dive Into Summer Savings Save 25% Off Select Full And Sale-Price Items With,Search,10/25/2021
Adidas,adidas Classic Shoes - 30% Off I Code WINTER Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Save 30% On Select Full And Sale-Price Items With Code WINTER. Show Your Signature Style Men's Shoes Originals Samba Superstar Bestsellers,Search,10/25/2021
Adidas,adidas Running - Shop Running Use Code DEAL For an Extra 30% Off Your Favorite Select Full Price and Sale Styles Shop adidas And Get An Extra 30% Off Sales And Full Priced Products With Men's Shoes Shop Men's Shoes. Lifestyle And Performance Footwear adidas Running Apparel Up To 30% Off I Code DEAL Bestsellers,Search,10/25/2021
Adidas,adidas? Tennis Shoes - Up To 60% Off Select Items Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. End Of Rating for adidas.com 4.7 → (168) Most items30+ days Men's Shoes adidas? New Arrivals adidas,Search,10/25/2021
Adidas,adidas? Retro Gear - Up To 60% Off Select Items Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. End Of Season Sale. Save Up To 60% Off Select Items. Sign Up & Get 15% Off. Iconic & Timeless Styles Women's Shoes Originals Men's Shoes,Search,10/25/2021
Adidas,adidas Men's Tennis Shoes - Save 25% I Code SPRING Shop adidas Men's Tennis Shoes Today. Free Shipping For Members On All Orders. Save 25% On Select Full Men's Shoes Shop Sale Bestsellers,Search,10/25/2021
Adidas,"adidas? Men's Joggers - Spring Sale I Up to 50% Off Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. One of The Best Sales of The Season. For a Limited Time, Get Up to 50% Off Select Styles. Free Shipping For Members Rating for adidas.com 4.6 ↓ (190) Most items 30+ days Shop Sale Shop Men's Joggers Order From",Search,10/25/2021
Adidas,adidas? Women's High Top Shoes - Up To 60% Off Select Items Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. End Of Season Sale I Up To 60% Off Select Items. Show Your Signature Style. Free Returns & Exchanges,Search,10/25/2021
